date,paid_price
2024-06-04,649.31
2024-06-05,1532.72
2024-06-06,11678.25
2024-06-07,589.98
2024-06-08,13996.890000000001
2024-06-09,2443.19
2024-06-10,6375.96
2024-06-11,1412.59
2024-06-12,12355.9
2024-06-13,8117.7
2024-06-14,866.75
2024-06-15,731.28
2024-06-16,1097.74
2024-06-17,1048.25
2024-06-18,6640.45
2024-06-19,8450.68
2024-06-20,27970.55
2024-06-21,40196.630000000005
2024-06-22,747.34
2024-06-23,896.85
2024-06-24,4502.49
2024-06-25,573.17
2024-06-26,2753.0499999999997
2024-06-27,7914.35
2024-06-28,11225.69
2024-06-29,7022.62
2024-06-30,23005.489999999998
2024-07-01,6568.45
2024-07-02,1095.81
2024-07-03,1289.04
2024-07-04,18947.13
2024-07-05,1148.6
2024-07-06,21474.94
2024-07-07,5626.53
2024-07-08,13473.42
2024-07-09,37426.84
2024-07-10,1120.05
2024-07-11,9131.69
2024-07-12,4882.29
2024-07-13,24710.39
2024-07-14,1014.72
2024-07-15,13723.33
2024-07-16,1138.79
2024-07-17,3394.0499999999997
2024-07-18,64472.34
2024-07-19,23858.68
2024-07-20,998.88
2024-07-21,27171.309999999998
2024-07-22,2060.64
2024-07-23,15875.94
2024-07-24,15736.83
2024-07-25,21544.77
2024-07-26,20414.64
2024-07-27,5624.37
2024-07-28,9088.43
2024-07-29,1430.96
2024-07-30,51263.37
2024-07-31,3434.3300000000004
2024-08-01,1644.3200000000002
2024-08-02,43945.7
2024-08-03,7801.48
2024-08-04,19923.68
2024-08-05,6540.4800000000005
2024-08-06,1585.3600000000001
2024-08-07,1613.14
2024-08-08,19894.530000000002
2024-08-09,12344.21
2024-08-10,8540.33
2024-08-11,36265.42
2024-08-12,11019.94
2024-08-13,16562.1
2024-08-14,1011.3
2024-08-15,22603.75
2024-08-16,13844.34
2024-08-17,25858.35
2024-08-18,27306.969999999998
2024-08-19,1350.68
2024-08-20,13772.24
2024-08-21,21327.28
2024-08-22,15396.529999999999
2024-08-23,1435.27
2024-08-24,42230.98
2024-08-25,16648.43
2024-08-26,13986.37
2024-08-27,19561.55
2024-08-28,14441.73
2024-08-29,55524.880000000005
2024-08-30,17644.43
2024-08-31,20866.26
2024-09-01,8490.140000000001
2024-09-02,18832.14
2024-09-03,18339.36
2024-09-04,22330.79
2024-09-05,27153.09
2024-09-06,36657.74
2024-09-07,29207.68
2024-09-08,10549.460000000001
2024-09-09,33192.74
2024-09-10,8300.51
2024-09-11,14236.35
2024-09-12,50895.65
2024-09-13,2007.08
2024-09-14,19927.34
2024-09-15,37890.59
2024-09-16,19607.84
2024-09-17,10113.01
2024-09-18,10675.08
2024-09-19,3416.0
2024-09-20,5537.39
2024-09-21,16334.71
2024-09-22,14284.99
2024-09-23,12835.5
2024-09-24,14609.74
2024-09-25,21540.47
2024-09-26,2321.91
2024-09-27,7915.8
2024-09-28,7490.8
2024-09-29,11825.27
2024-09-30,11366.130000000001
2024-10-01,13365.220000000001
2024-10-02,4894.18
2024-10-03,16740.85
2024-10-04,34243.82
2024-10-05,23337.88
2024-10-06,9027.59
2024-10-07,20639.9
2024-10-08,12201.3
2024-10-09,29997.14
2024-10-10,2393.2799999999997
2024-10-11,28937.05
2024-10-12,6245.52
2024-10-13,23560.82
2024-10-14,30709.7
2024-10-15,24702.620000000003
2024-10-16,22377.99
2024-10-17,23480.170000000002
2024-10-18,4073.06
2024-10-19,21163.72
2024-10-20,16768.239999999998
2024-10-21,4958.4800000000005
2024-10-22,8133.86
2024-10-23,49338.76
2024-10-24,26066.829999999998
2024-10-25,8754.89
2024-10-26,16403.35
2024-10-27,2680.5099999999998
2024-10-28,36821.31
2024-10-29,2222.51
2024-10-30,30445.44
2024-10-31,7246.88
2024-11-01,32227.420000000002
2024-11-02,54251.840000000004
2024-11-03,50647.44
2024-11-04,46270.8
2024-11-05,19898.75
2024-11-06,4656.72
2024-11-07,28794.99
2024-11-08,30375.04
2024-11-09,2321.0
2024-11-10,2314.2
2024-11-11,40513.229999999996
2024-11-12,34213.12
2024-11-13,9107.19
2024-11-14,5607.01
2024-11-15,77238.13
2024-11-16,10254.12
2024-11-17,29695.01
2024-11-18,33721.86
2024-11-19,6605.1900000000005
2024-11-20,21932.760000000002
2024-11-21,43818.74
2024-11-22,1612.03
2024-11-23,3528.25
2024-11-24,22313.05
2024-11-25,1379.56
2024-11-26,1758.0
2024-11-27,13964.49
2024-11-28,19869.89
2024-11-29,57897.85
2024-11-30,6236.16
2024-12-01,18720.92
2024-12-02,22874.91
2024-12-03,12753.34
2024-12-04,18455.45
2024-12-05,4017.2599999999998
2024-12-06,2308.48
2024-12-07,11207.880000000001
2024-12-08,4537.52
2024-12-09,25141.9
2024-12-10,58742.57
2024-12-11,30404.92
2024-12-12,28534.58
2024-12-13,4820.98
2024-12-14,31015.4
2024-12-15,37562.27
2024-12-16,1821.4199999999998
2024-12-17,34061.36
2024-12-18,12967.65
2024-12-19,13765.01
2024-12-20,10537.74
2024-12-21,12661.17
2024-12-22,57075.46
2024-12-23,38849.83
2024-12-24,44414.01
2024-12-25,27480.609999999997
2024-12-26,11355.99
2024-12-27,35520.02
2024-12-28,30068.170000000002
2024-12-29,39297.22
2024-12-30,7672.82
2024-12-31,20543.16
2025-01-01,8474.1
2025-01-02,18370.02
2025-01-03,4029.39
2025-01-04,1993.24
2025-01-05,6092.62
2025-01-06,12397.12
2025-01-07,41851.72
2025-01-08,42726.27
2025-01-09,19934.06
2025-01-10,11445.55
2025-01-11,35119.770000000004
2025-01-12,12637.24
2025-01-13,35970.66
2025-01-14,11420.58
2025-01-15,13041.4
2025-01-16,6601.55
2025-01-17,39038.93
2025-01-18,5167.91
2025-01-19,10038.51
2025-01-20,9697.52
2025-01-21,17488.28
2025-01-22,7191.0599999999995
2025-01-23,22786.7
2025-01-24,29021.170000000002
2025-01-25,43874.46
2025-01-26,23616.59
2025-01-27,22191.87
2025-01-28,20006.59
2025-01-29,33076.71
2025-01-30,43534.9
2025-01-31,21757.5
2025-02-01,32803.9
2025-02-02,5171.92
2025-02-03,10276.66
2025-02-04,1500.49
2025-02-05,9419.24
2025-02-06,16701.03
2025-02-07,7902.490000000001
2025-02-08,14819.01
2025-02-09,17388.519999999997
2025-02-10,7408.08
2025-02-11,1587.85
2025-02-12,41935.04
2025-02-13,16756.940000000002
2025-02-14,6475.21
2025-02-15,8795.109999999999
2025-02-16,6428.42
2025-02-17,2024.96
2025-02-18,9771.47
2025-02-19,35266.39
2025-02-20,16919.34
2025-02-21,11394.54
2025-02-22,18565.13
2025-02-23,40119.54
2025-02-24,45988.44
2025-02-25,23965.72
2025-02-26,8988.6
2025-02-27,16395.55
2025-02-28,26377.68
2025-03-01,8783.68
2025-03-02,6267.82
2025-03-03,13841.17
2025-03-04,25331.79
2025-03-05,10476.54
2025-03-06,7310.3
2025-03-07,7134.82
2025-03-08,8871.98
2025-03-09,1865.28
2025-03-10,25012.12
2025-03-11,23038.31
2025-03-12,1748.19
2025-03-13,15789.79
2025-03-14,1743.03
2025-03-15,17022.28
2025-03-16,15134.8
2025-03-17,1372.93
2025-03-18,1047.69
2025-03-19,1884.3
2025-03-20,10910.42
2025-03-21,41276.22
2025-03-22,17634.58
2025-03-23,25558.059999999998
2025-03-24,13670.900000000001
2025-03-25,6081.320000000001
2025-03-26,8181.29
2025-03-27,41447.81
2025-03-28,1570.7
2025-03-29,3434.0
2025-03-30,12644.61
2025-03-31,6377.0
2025-04-01,5224.21
2025-04-02,14661.76
2025-04-03,12763.27
2025-04-04,3040.19
2025-04-05,35910.0
2025-04-06,17605.74
2025-04-07,38341.729999999996
2025-04-08,11556.34
2025-04-09,1451.59
2025-04-10,8680.1
2025-04-11,11716.88
2025-04-12,16621.48
2025-04-13,2288.92
2025-04-14,4017.95
2025-04-15,3184.18
2025-04-16,998.84
2025-04-17,59113.76
2025-04-18,18183.829999999998
2025-04-19,10327.58
2025-04-20,1512.14
2025-04-21,14221.09
2025-04-22,16573.52
2025-04-23,20145.27
2025-04-24,9417.300000000001
2025-04-25,8878.220000000001
2025-04-26,20805.67
2025-04-27,694.75
2025-04-28,5167.03
2025-04-29,14072.2
2025-04-30,7874.61
2025-05-01,15533.570000000002
2025-05-02,14827.19
2025-05-03,4554.59
2025-05-04,572.84
2025-05-05,17036.5
2025-05-06,25891.62
2025-05-07,8207.2
2025-05-08,577.54
2025-05-09,7619.89
2025-05-10,5701.469999999999
2025-05-11,7629.36
2025-05-12,21819.9
2025-05-13,11200.460000000001
2025-05-14,12132.23
2025-05-15,1376.9
2025-05-16,8296.05
2025-05-17,21097.98
2025-05-18,1128.13
2025-05-19,25721.659999999996
2025-05-20,6615.56
2025-05-21,34488.45
2025-05-22,1089.24
2025-05-23,861.78
2025-05-24,7840.88
2025-05-25,368.84000000000003
2025-05-26,15947.24
2025-05-27,2215.94
2025-05-28,16301.03
2025-05-29,7448.55
2025-05-30,5432.13
2025-05-31,2659.72
2025-06-01,383.94
2025-06-02,556.18
2025-06-03,633.29
2025-06-04,7383.28
2025-06-05,946.4300000000001
2025-06-06,907.29
2025-06-07,6409.89
2025-06-08,13167.58
2025-06-09,922.99
2025-06-10,551.71
2025-06-11,16398.8
2025-06-12,228.53
2025-06-13,13695.279999999999
2025-06-14,556.65
2025-06-15,2321.33
2025-06-16,402.04
2025-06-17,157.99
2025-06-18,3801.99
2025-06-19,929.82
2025-06-20,343.23
2025-06-21,11421.71
2025-06-22,23697.41
2025-06-23,9624.57
2025-06-24,720.3299999999999
2025-06-25,13059.48
2025-06-26,666.55
2025-06-27,3110.5
2025-06-28,667.8
2025-06-29,659.8
2025-06-30,945.25
2025-07-01,906.53
2025-07-02,381.59
2025-07-03,227.95
2025-07-04,451.29999999999995
2025-07-05,487.95
2025-07-06,355.24
2025-07-07,5590.64
2025-07-08,315.74
2025-07-09,338.5
2025-07-10,28609.2
2025-07-11,668.6
2025-07-12,2864.99
2025-07-13,150.6
2025-07-14,166.0
2025-07-15,537.6
2025-07-16,42.5
2025-07-17,3734.5
2025-07-18,393.0
2025-07-19,11955.25
2025-07-20,5319.4
2025-07-21,264.48
2025-07-22,194.8
2025-07-23,482.4
2025-07-24,203.1
2025-07-25,643.05
2025-07-26,395.39
2025-07-27,228.8
2025-07-28,287.6
2025-07-29,452.15
2025-07-30,171.25
2025-07-31,296.0
2025-08-01,15410.4
2025-08-02,438.86
2025-08-03,263.70000000000005
2025-08-04,455.13
2025-08-05,312.58
2025-08-06,216.1
2025-08-07,2412.3
2025-08-08,320.47
2025-08-09,299.7
2025-08-10,9033.8
2025-08-11,6798.1
2025-08-12,7796.44
2025-08-13,26189.9
2025-08-14,195.5
2025-08-15,6385.58
2025-08-16,4181.1
2025-08-17,283.74
2025-08-18,128.0
2025-08-19,153.8
2025-08-20,115.8
2025-08-21,172.5
2025-08-22,78.25
2025-08-23,49.0
2025-08-24,146.0
2025-08-25,41.99
2025-08-26,229.1
2025-08-27,320.97
2025-08-28,49.5
2025-08-29,76.5
2025-08-30,64.5
2025-08-31,70.99
2025-09-01,7980.0
2025-09-02,33697.8
2025-09-03,1878.0
2025-09-04,19005.68
2025-09-06,49.25
2025-09-07,184.0
2025-09-09,107.49
2025-09-10,16303.2
2025-09-11,15.5
2025-09-12,8620.25
2025-09-13,308.99
2025-09-15,34.0
2025-09-16,18353.8
2025-09-18,79.8
2025-09-19,58.25
2025-09-22,79.2
2025-09-23,33.75
2025-09-24,111.5
2025-09-25,105.0
2025-09-26,85.99
2025-09-28,40.5
2025-09-29,3725.0
2025-09-30,58.0
2025-10-01,53.5
2025-10-02,68.5
2025-10-03,331.7
2025-10-04,2815.25
2025-10-05,90.0
2025-10-06,126.30000000000001
2025-10-08,44.5
2025-10-12,86.4
2025-10-13,40.25
2025-10-14,665.45
2025-10-15,198.25
2025-10-17,84.99000000000001
2025-10-20,235.2
2025-10-22,18.5
2025-10-23,22.0
2025-10-28,65.99
2025-10-29,179.98
2025-11-02,136.5
2025-11-03,96.0
2025-11-04,9150.0
2025-11-05,2940.0
2025-11-07,49.0
2025-12-01,63.0
2025-12-03,24.25
